Al Pacino
Alain Delon
Aldo Maccione
Alexandra Lamy
Alfred Hitchcock
Alice Sapritch
Alyzée
Anaïs Demoustier
Andy García
Angelina Jolie
Anne Chapman
Annie Cordy
Annie Girardot
Anthony Hopkins
Anthony Quinn
Antonio Banderas
Arielle Dombasle
Arletty
Arnold Schwarzenegger
Ary Abittan
Ashley Olsen
Audrey Tautou
Ava Gardner
Barbara Parkins
Béatrice Dalle
Bela Lugosi
Ben Affleck
Bernard Giraudeau
Benjamin Biolay
Benoît Poelvoorde
Bernadette Lafont
Bernard Blier
Bill Murray
Bo Derek
Bouli Lanners
Bourvil
Brad Pitt
Bradley Cooper
Brandon Routh
Brie Larson
Bridget Fonda
Brigitte Bardot
Brigitte Lahaie
Bruce Lee
Bruce Willis
Buster Keaton
Benedict Cumberbatch
Cameron Diaz
Carla Gugino
Carole Bouquet
Caroline Tresca
Cary Grant
Cate Blanchett
Catherine Deneuve
Catherine Zeta-Jones
Cécilia Véga
Chantal Ladesou
Charlie Chaplin
Charles Chaplin
Charlize Theron
Charlotte Gainsbourg
Chris Hemsworth
Christian Clavier
Christoph Waltz
Christopher Lloyd
Christopher Walken
Christopher Reeve
Chuck Norris
Clark Gable
Christina Ricci
Céline Tran
Claude Brasseur
Claire Foy
Claudia Cardinale
Clémentine Célarié
Clint Eastwood
Clovis Cornillac
Coluche
Corinne Touzet
Cécile de France
Clara Morgane
Dan Aykroyd
Daniel Auteuil
Daniel Craig
Daniel Radcliffe
Danielle Minazzoli
Danny DeVito
Dany Boon
Darry Cowl
David Niven
David Tomlinson
David Tennant
Demi Moore
Denise Richards
Denzel Washington
Delfynn Delage
Diane Keaton
Didier Bourdon
Dieudonné
Divine
Dustin Hoffman
Dwayne Johnson
Eddie Redmayne
Edna Purviance
Elie Semoun
Émilie Dequenne
Emily Blunt
Emma Watson
Emma de Caunes
Emma Stone
Emmanuelle Béart
Eva Karera
Edwige Fenech
Fabrice Luchini
Faye Dunaway
Fernandel
Franck Dubosc
Frank Sinatra
Frances McDormand
Francis Perrin
François Damiens
François Ozon
Françoise Dorléac
Freddie Highmore
Gary Oldman
Gene Hackman
George Clooney
George Lazenby
Georges Beller
Glenn Ford
Gérard Depardieu
Gérard Jugnot
Gérard Lanvin
Guy Bedos
Gina Lollobrigida
Harold Lloyd
Harrison Ford
Hayley Atwell
Helen Hunt
Henri Fonda
Henri Guybet
Henri Salvador
Hugh Grant
Hugh Jackman
Humphrey Bogart
Isabelle Huppert
Isabelle Nanty
Jack Nicholson
Jackie Chan
Jacques Brel
Jacques Tati
Jacques Villeret
James Stewart
Jamie Lee Curtis
Jan-Michael Vincent
Jane Birkin
Jean Dujardin
Jean Gabin
Jean Lefebvre
Jean Rochefort
Jean Reno
Jean-Claude Van Damme
Jean-Louis Trintignant
Jean-Marc Thibault
Jean-Marie Bigard
Jean-Paul Belmondo
Jeanne Moreau
Jeff Bridges
Jennifer Love Hewitt
Jeff Goldblum
Jim Carrey
Jodie Foster
John B. Root
John Malkovich
John Travolta
John Wayne
Johnny Depp
Johnny Hallyday
Josiane Balasko
José Garcia
Julia Roberts
Julianne Moore
Juliette Binoche
Julie Christie
Julie Delpy
Kad Merad
Karine Gambier
Kate Winslet
Kate Bosworth
Katia Tchenko
Katie Holmes
Keanu Reeves
Keira Knightley
Kev Adams
Kevin Costner
Kevin Spacey
Kurt Russell
Lady Gaga
Lambert Wilson
Laura Antonelli
Laura Dern
Laura Gemser
Laura Harring
Laure Sainclair
Laurent Baffie
Léa Seydoux
Lee Van Cleef
Leonardo DiCaprio
Leslie Nielsen
Liam Neeson
Liliane Allan
Lilli Palmer
Lindsay Lohan
Lino Ventura
Liv Tyler
Louis de Funès
Luis Mariano
Mark Strong
Madonna
Marie-Claude Viollet
Marilyn Monroe
Marilyn Jess
Marion Cotillard
Marthe Villalonga
Martin Lawrence
Mary-Kate Olsen
Marlon Brando
Mathieu Kassovitz
Matt Damon
Mel Gibson
Melody Ghost
Meryl Streep
Mia Farrow
Michael Douglas
Michael J. Fox
Michael Keaton
Michel Blanc
Michel Boujenah
Michel Galabru
Michel Serrault
Michel Simon
Michelle Pfeiffer
Michelle Rodriguez
Michèle Laroque
Mickey Rourke
Mike Newell
Milla Jovovich
Miley Cyrus
Mireille Darc
Mona Kristensen
Morgan Freeman
Mélanie Laurent 
Nancy Olson
Naomi Watts
Nastassja Kinski
Natalie Portman
Neve Campbell
Nicolas Cage
Nicole Kidman
Nina Meurisse
Nomi
Olivia Wilde
Oliver Hardy
Omar Sharif
Omar Sy
Oprah Winfrey
Patrick Bruel
Patrick Swayze
Patrick Timsit
Patricia Arquette
Paul Newman
Paul Préboist
